title,published_at,channel_title,duration,view_count,like_count,comment_count,category
Finally Revealing My HUGE Secret Project (Guidebook Pt. 1),2024-07-26 20:00:21+00:00,Moriah Elizabeth,PT45M4S,2436089,109273,12542,Entertainment
First Look | Star Trek: Strange New Worlds - Season 3 | StarTrek.com,2024-07-27 20:59:49+00:00,Star Trek,PT5M4S,875421,18562,2705,Entertainment
The Amazing Digital Circus But smol,2024-07-26 19:00:16+00:00,GLITCH,PT1M38S,6993674,375885,16410,Film & Animation
Can You Beat Zelda without Touching Colors?,2024-07-27 17:56:40+00:00,PointCrow,PT36M10S,596979,27386,1044,Gaming
I Survived 100 Days on the Lifesteal SMP…,2024-07-27 15:18:59+00:00,SB737,PT51M25S,1157350,36895,3840,Gaming
YTB Fatt & Lil Durk - Conspiracy V2 (Official Video),2024-07-25 19:00:06+00:00,YTB Fatt ,PT3M10S,3228653,78395,4016,Music
Halsey - Lucky (Official Video),2024-07-26 14:00:07+00:00,HalseyVEVO,PT3M49S,4400315,148793,8208,Music
NEW Sea Tower - The MERMONKEY Has Arrived! (Bloons TD 6),2024-07-27 18:10:00+00:00,ISAB,PT22M53S,606444,21955,1443,Gaming
Minecraft but I SAVE The Village... (From Grox),2024-07-27 17:00:33+00:00,JoofyLooby,PT22M2S,671034,14442,1118,Gaming
Hamilton’s shock Belgian GP win and Russell disqualification explained,2024-07-29 00:09:15+00:00,THE RACE,PT9M15S,781421,12627,1452,Sports
The Pit Stop AS9 E12 🏁 | Bob The Drag Queen & Katya Take Over! 👑 | RuPaul’s Drag Race AS9,2024-07-27 16:00:20+00:00,RuPaul's Drag Race,PT34M50S,972641,40496,3198,Entertainment
Avengers Doomsday Announced Robert Downey Jr Is Doctor Doom (Comic Con Panel),2024-07-28 04:29:45+00:00,3C Films,PT12M29S,282680,13726,2721,Entertainment
